,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,whiten,scaling,dtw_dist,speed_factor,heading,speed,exponent
30,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_0.8.csv,12.878000000000135,imm,66,2.1200000000000045,False,global,2771.7560937025173,0.8,3.1093524950807625,2.27045040207536,-0.09544477824489254
31,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_1.0.csv,11.360999999999976,figM,104,2.7590000000000146,False,global,2424.5113601771513,1.0,3.1093524950807625,2.27045040207536,-0.09544477824489254
32,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_1.2000000000000002.csv,13.316999999999936,figM,104,3.319000000000017,False,global,2419.2438029580644,1.2000000000000002,3.1093524950807625,2.27045040207536,-0.09544477824489254
33,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_1.4000000000000004.csv,26.436000000000078,hump,30,3.8799999999999955,False,global,2682.4035945649844,1.4000000000000004,3.1093524950807625,2.27045040207536,-0.09544477824489254
34,P23,manual_F3A_P23_21_11_02_00000137.json,manual_F3A_P23_21_11_02_00000137_raw_global_1.6.csv,44.276999999999965,hump,30,3.0,False,global,3092.7775069872755,1.6,3.1093524950807625,2.27045040207536,-0.09544477824489254
35,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_0.4.csv,778.567,sqL,28,32.8,False,global,5811.103409651274,0.4,4.892350895475527,1.499028296608754,0.14228060229976475
36,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_0.6000000000000001.csv,49.886999999999986,aV,137,5.361999999999966,False,global,4124.811472808033,0.6000000000000001,4.892350895475527,1.499028296608754,0.14228060229976475
37,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_0.8.csv,39.80500000000014,aV,137,5.442999999999984,False,global,3456.407041059284,0.8,4.892350895475527,1.499028296608754,0.14228060229976475
38,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_1.0.csv,34.5640000000001,aV,137,4.401999999999987,False,global,3261.5463064292667,1.0,4.892350895475527,1.499028296608754,0.14228060229976475
39,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_1.2000000000000002.csv,43.1150000000001,com,114,6.398000000000025,False,global,3394.931980955445,1.2000000000000002,4.892350895475527,1.499028296608754,0.14228060229976475
40,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_1.4000000000000004.csv,55.04200000000009,com,114,7.079000000000008,False,global,3709.1447988279265,1.4000000000000004,4.892350895475527,1.499028296608754,0.14228060229976475
41,P21,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403.json,AUS_VIC_GMAC_EW_F3A_P21_21_11_08_00000403_raw_global_1.6.csv,90.35400000000008,com,114,7.560000000000002,False,global,4143.6377306576505,1.6,4.892350895475527,1.499028296608754,0.14228060229976475
42,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_0.4.csv,7440.024,loop,122,94.31899999999996,False,global,9814.93628877546,0.4,3.3386301174862636,9.004102847959782,0.153781344236263
43,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_0.6000000000000001.csv,283.9139999999999,square,163,23.799000000000035,False,global,5745.23245150812,0.6000000000000001,3.3386301174862636,9.004102847959782,0.153781344236263
44,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_0.8.csv,251.58899999999997,square,163,23.799000000000035,False,global,4826.295983376911,0.8,3.3386301174862636,9.004102847959782,0.153781344236263
45,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_1.0.csv,210.2700000000002,square,165,20.119000000000028,False,global,4143.854681809418,1.0,3.3386301174862636,9.004102847959782,0.153781344236263
46,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_1.2000000000000002.csv,144.99200000000002,square,163,12.67900000000003,False,global,3797.606316652934,1.2000000000000002,3.3386301174862636,9.004102847959782,0.153781344236263
47,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_1.4000000000000004.csv,29.594000000000044,9,70,7.558999999999969,False,global,3504.131912468868,1.4000000000000004,3.3386301174862636,9.004102847959782,0.153781344236263
48,F21,manual_F3A_F21_21_09_01_00000015.json,manual_F3A_F21_21_09_01_00000015_raw_global_1.6.csv,44.74800000000019,9,70,7.718999999999994,False,global,3961.727538440325,1.6,3.3386301174862636,9.004102847959782,0.153781344236263
49,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_0.4.csv,1277.1119999999994,Et,88,35.35900000000001,False,global,5674.947310790594,0.4,2.768411413333399,2.0880988720461273,0.2081122198353637
50,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_0.6000000000000001.csv,28.039999999999885,loop,158,3.1189999999999714,False,global,4192.992362293618,0.6000000000000001,2.768411413333399,2.0880988720461273,0.2081122198353637
51,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_0.8.csv,15.323999999999842,Et,84,2.6399999999999864,False,global,3218.413763837656,0.8,2.768411413333399,2.0880988720461273,0.2081122198353637
52,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_1.0.csv,9.404999999999973,Et,84,2.5999999999999943,False,global,2784.6673113629586,1.0,2.768411413333399,2.0880988720461273,0.2081122198353637
53,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_1.2000000000000002.csv,9.72600000000012,Et,84,2.5600000000000023,False,global,2732.786226501783,1.2000000000000002,2.768411413333399,2.0880988720461273,0.2081122198353637
54,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_1.4000000000000004.csv,21.52200000000027,shark,146,2.6000000000000227,False,global,2970.3897641599956,1.4000000000000004,2.768411413333399,2.0880988720461273,0.2081122198353637
55,P23,manual_F3A_P23_21_11_02_00000134.json,manual_F3A_P23_21_11_02_00000134_raw_global_1.6.csv,36.12200000000013,figM,104,2.7210000000000036,False,global,3375.1531018435066,1.6,2.768411413333399,2.0880988720461273,0.2081122198353637
