,Unnamed: 0,schedule,fcj,csv,total_difference,worst_manoeuvre,worst_elm,worst_elm_difference,whiten,scaling,dtw_dist,heading,speed,exponent
43,43,P23,manual_F3A_P23_21_10_17_00000102.json,manual_F3A_P23_21_10_17_00000102_raw_global.csv,75.1660000000001,loop,160,23.87899999999996,False,global,3158.2833843569933,3.4756641219627133,-7.336372354063471,0.4098042867241566
44,44,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_whi_measure.csv,39.80400000000013,loop,157,7.640000000000043,True,measure,7563.355485652019,6.294261174600109,5.992512680518647,-0.0569766219590405
45,45,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_raw_measure.csv,39.472,loop,157,7.640000000000043,False,measure,2960.1853693446774,6.294261174600109,5.992512680518647,-0.0569766219590405
46,46,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_whi_global.csv,16.843000000000274,Et,84,1.920000000000016,True,global,7728.307858801247,6.294261174600109,5.992512680518647,-0.0569766219590405
47,47,P23,manual_F3A_P23_21_10_17_00000105.json,manual_F3A_P23_21_10_17_00000105_raw_global.csv,14.836999999999982,Et,84,1.8780000000000143,False,global,2942.245213495078,6.294261174600109,5.992512680518647,-0.0569766219590405
48,48,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_whi_measure.csv,21.18999999999985,aV,140,4.760999999999967,True,measure,7666.4741014509555,4.653384389927792,1.5103213331028358,2.1524606163244497
49,49,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_raw_measure.csv,18.455999999999904,aV,140,4.760999999999967,False,measure,2952.409569682045,4.653384389927792,1.5103213331028358,2.1524606163244497
50,50,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_whi_global.csv,14.429999999999836,aV,140,3.2800000000000296,True,global,7678.064977847955,4.653384389927792,1.5103213331028358,2.1524606163244497
51,51,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000273_raw_global.csv,8.576999999999785,9,36,1.0749999999999886,False,global,3017.126530801884,4.653384389927792,1.5103213331028358,2.1524606163244497
52,52,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_whi_measure.csv,25.082000000000008,loop,122,6.838000000000022,True,measure,7296.116305457927,3.021545388344708,2.1884638071735942,-0.199360179940386
53,53,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_raw_measure.csv,54.12200000000009,loop,122,15.799000000000037,False,measure,3391.029088444559,3.021545388344708,2.1884638071735942,-0.199360179940386
54,54,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_whi_global.csv,19.077999999999854,9,69,4.240000000000009,True,global,6607.139821553488,3.021545388344708,2.1884638071735942,-0.199360179940386
55,55,F21,manual_F3A_F21_21_09_15_00000051.json,manual_F3A_F21_21_09_15_00000051_raw_global.csv,12.076999999999783,9,69,4.240000000000009,False,global,2794.0329196870684,3.021545388344708,2.1884638071735942,-0.199360179940386
56,56,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_whi_measure.csv,27.284999999999847,aV,140,7.08099999999996,True,measure,8870.040389027552,2.1352303272607345,0.3101816648250841,-0.2275999570319918
57,57,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_raw_measure.csv,30.13099999999993,aV,140,7.199999999999989,False,measure,3662.221525317725,2.1352303272607345,0.3101816648250841,-0.2275999570319918
58,58,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_whi_global.csv,19.64399999999989,com,108,2.1200000000000045,True,global,8877.525311917308,2.1352303272607345,0.3101816648250841,-0.2275999570319918
59,59,P21,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460.json,AUS_VIC_YVA_EW_F3A_P21_21_11_08_00000460_raw_global.csv,13.90899999999985,com,108,2.079999999999984,False,global,3634.756713999511,2.1352303272607345,0.3101816648250841,-0.2275999570319918
60,60,P23,manual_F3A_P23_21_10_23_00000115.json,manual_F3A_P23_21_10_23_00000115_whi_measure.csv,33.234000000000194,loop,157,8.158999999999992,True,measure,8338.674863299379,3.6770107438445168,9.290213180851438,0.1734721516426604
