t,t,dt,x,y,z,rw,rx,ry,rz,u,v,w,p,q,r,du,dv,dw,dp,dq,dr,manoeuvre,element
16.081688999999997,130.695257,0.04048849999999504,92.26220495868318,-167.51029061900863,303.80352783203125,0.020575874304990055,-0.9983909345841989,0.032272647706415025,0.041841599990564804,29.094192050036458,-4.056544505556929,0.767237892346734,-0.1781291961669922,-0.6953621506690979,0.1556630730628967,-0.5741251707077026,1.4815428256988523,10.938483238220217,-0.07731574868668602,0.2968418334221134,0.11390076122645508,1,12
16.121263999999982,130.73483199999998,0.03917950000000303,93.43114322249976,-167.39222558233098,303.6719665527344,0.017026461280078724,-0.9977157298279964,0.034896550455935205,0.05527799640194009,29.110788685382605,-4.193126804550815,0.8632664194693009,-0.1543500125408172,-0.6826047897338867,0.1520510017871856,-0.5507535934448242,1.3151170015335083,11.744023323059082,0.02128976378330437,0.23016616660051464,-0.22470937388420387,1,12
16.160048000000003,130.773616,0.03938600000000747,94.5958979558007,-167.27869894646952,303.5041198730469,0.014045675874827017,-0.9967820010458073,0.03733887286926496,0.06952803289666114,29.12047919181365,-4.279845463538209,0.8855645414790478,-0.1764609515666961,-0.6773265600204468,0.138055071234703,-0.50411456823349,1.884793281555176,13.66122055053711,0.8977794501328542,-0.03293267854769251,-0.2803393977619957,1,12
16.200035999999997,130.813604,0.04017349999999453,95.75555983945321,-167.17063747503082,303.2980041503906,0.011584213850819446,-0.9957108246222569,0.03956653822770145,0.0828267599430392,29.16052992271798,-4.3534266029044995,1.043166184880211,-0.0836301296949386,-0.685198962688446,0.1299681067466735,-0.6508095860481262,2.3902926445007324,12.970657348632812,1.0148624193603422,-0.12182205118345275,-0.29071600392331365,1,12
16.240394999999992,130.853963,0.04068699999999126,96.90955986114882,-167.06750484883491,303.0546264648437,0.010477254760623021,-0.9943417427525189,0.04172893222279117,0.09712572286663494,29.19517569881808,-4.409823822315598,1.098721075075233,-0.0949198007583618,-0.6871145963668823,0.1146969124674797,-0.6266723275184631,2.3759360313415527,14.158864974975586,-0.45879797075039463,-0.0983285462100294,-0.5198858829781796,1,12
16.28140999999998,130.89497799999998,0.040464000000000055,98.05898818385292,-166.9632006119646,302.7730407714844,0.008114055645005294,-0.9929001746446596,0.04311633939480369,0.1105645099861883,29.266734197956808,-4.452640571116047,1.2612975668827047,-0.1209643557667732,-0.6932003498077393,0.0876629129052162,-0.7677187919616699,2.497663736343384,13.671934127807615,-0.3896791380401079,0.3490960847817654,-0.4355471430971673,1,12
16.321322999999992,130.934891,0.039578000000005886,99.20293425459538,-166.85800446838283,302.4542541503906,0.005799781808141322,-0.9912136060791503,0.04439583750318504,0.1244629282415425,29.32520896528011,-4.478220629587343,1.3546485056860287,-0.1264557540416717,-0.6588629484176636,0.0794489532709121,-0.8236366510391235,2.467240810394287,14.703969955444336,0.6068094851748213,0.4815178200849553,-0.2002804278664453,1,12
16.36056599999999,130.974134,0.03940300000000718,100.33838769899799,-166.75877932435134,302.09674072265625,0.0042803710766221165,-0.9894909129190479,0.04557374969285771,0.1371591349787048,29.41437365924373,-4.495762752049488,1.5403104888976613,-0.0729317441582679,-0.6550853252410889,0.0718095153570175,-1.0906614065170288,1.9657553434371948,13.209111213684082,0.9425420299795797,0.5223056863013648,-0.16768410602587108,1,12
16.400129000000007,131.013697,0.03989450000000261,101.46507043869252,-166.6647123172979,301.70306396484375,0.003096854522574785,-0.9875816959605308,0.04671607290633617,0.1499680114944314,29.490215895081384,-4.509847387753869,1.676395595793255,-0.0521777868270874,-0.6177021265029907,0.0662344396114349,-1.1293511390686035,2.322594165802002,14.100944519042969,-0.16300868207540828,0.46716164705330115,-0.1309323120210332,1,12
16.440354999999997,131.053923,0.04062999999999306,102.58216858778927,-166.57573357316934,301.27264404296875,0.0019180320633327974,-0.9856346957720747,0.04773936459845368,0.1619931229100543,29.584306254886375,-4.515758993322975,1.8390659482953629,-0.0859380438923835,-0.6178109645843506,0.0613625571131706,-1.5340667963027954,2.3473892211914062,12.464810371398926,-0.2747379131514769,0.47097498344262306,-0.023624098509253223,1,12
